Type,ID,SedRed,Cost,Duck
WCMO,662,2.906,625.605,2.49
WCMO,663,19.674,10952.884,6.451
WCMO,664,5.789,1246.88,3.511
WCMO,666,7.97,2037.905,4.528
WCMO,667,2.859,730.576,2.719
WCMO,668,3.269,5835.55,2.904
WCMO,669,3.231,789.079,2.826
WCMO,670,95.19,49394.881,15.741
WCMO,698,10.745,2626.274,5.159
WCMO,699,3.711,798.963,2.805
WCMO,700,3.395,965.835,3.089
WCMO,701,23.53,6699.97,8.153
WCMO,702,5.097,6826.142,3.596
WCMO,703,24.374,11242.473,7.902
WCMO,704,42.733,29770.327,10.457
WCMO,705,46.902,17037.359,10.946
WCMO,706,3.396,6495.349,2.87
WCMO,707,4.915,6554.368,3.24
WCMO,708,60.273,19815.197,12.162
WCMO,709,13.256,8240.89,5.716
WCMO,710,3.245,5792.482,2.814
WCMO,731,37.735,19608.974,10.464
WCMO,732,27.474,30277.752,8.905
WCMO,743,2.476,6008.152,2.681
WCMO,744,6.064,11681.648,4.155
WCMO,745,4.155,6152.123,3.438
WCMO,746,23.797,23603.279,7.949
WCMO,747,34.277,9519.398,9.895
WCMO,748,9.481,9742.54,5.252
WCMO,749,26.322,7307.271,8.679
WCMO,750,3.37,934.321,3.106
WCMO,751,115.67,71641.832,17.632
WCMO,752,4.918,1355.96,3.767
WCMO,753,88.576,23090.737,15.438
WCMO,754,420.014,170111.806,34.986
WCMO,755,4.528,1248.355,3.608
WCMO,756,45.129,11720.921,11.005
WCMO,757,1.982,587.162,2.488
WCMO,758,19.424,12512.533,7.506
WCMO,759,42.965,103121.924,11.636
WCMO,760,9.886,13870.194,5.461
WCMO,761,5.733,16608.351,4.172
WCMO,762,7.599,12215.355,4.898
WCMO,763,7.601,17215.899,4.896
WCMO,764,194.396,272400.175,24.321
WCMO,776,2.74,818.54,3.046
WCMO,777,2.21,5969.617,2.733
WCMO,778,2.505,6048.982,2.908
WCMO,788,7.783,12535.684,5.498
WCMO,789,6.972,12271.347,5.208
WCMO,795,0,0,0
WCMO,796,16.276,3980.643,6.347
WCMO,797,8.16,6993.742,4.495
WCMO,799,10.286,8075.883,5.97
WCMO,800,0.184,1291.526,0
WCMO,801,2.222,617.706,2.52
WCMO,802,5.5,7143.781,3.966
WCMO,803,2.588,669.414,2.638
WCMO,804,7.485,1937.515,4.483
WCMO,805,15.015,23836.55,6.353
WCMO,806,115.843,83901.019,17.695
WCMO,807,350.037,345532.038,31.81
WCMO,812,3.006,990.145,3.404
WCMO,813,8.806,9745.112,4.628
WCMO,814,5.019,1080.792,3.283
WCMO,815,45.901,16264.371,10.667
WCMO,816,3.567,6221.034,2.956
WCMO,817,3.636,887.793,2.977
WCMO,818,36.78,9016.741,9.481
WCMO,819,7.187,1755.803,4.186
WCMO,823,14.06,4067.069,6.938
WCMO,839,0.439,2005.934,5.029
WCMO,883,4.194,12414.423,2.996
