Site_ID,SedRed,Cost,NEAR_FID,NEAR_DIST,area_m2,Cluster_size,Sedrank
17582,13.127,16890.535,8516,824.7744872,10992.55469,15,5
17591,14.554,8700.225,8516,1427.074501,12307.09473,15,4
17589,16.383,9206.628,8516,1379.600562,13991.41016,15,3
17576,29.234,23382.275,8516,381.7572696,25829.00781,15,2
18128,36.887,14885.809,8516,1181.061582,32880.58594,15,1
14755,6.699,5917.221,8779,464.831925,4778.893555,8,8
14081,7.727,1088.237,8779,1006.587285,5669.917969,8,7
14754,16.096,7481.937,8779,375.5978711,12931.35156,8,6
14084,18.962,14635.657,8779,585.7622713,15418.37793,8,5
14756,19.96,14896.09,8779,1111.578247,16284.58691,8,4
14083,23.136,8654.84,8779,1067.607601,19042.39453,8,3
14085,32.34,10189.421,8779,788.075789,27037.85156,8,2
14766,343.565,99119.244,8779,7.225756488,296414.0938,8,1
15461,7.583,6090.626,8901,170.2955004,5682.365234,1,1
14098,21.396,8352.623,9035,243.8358111,17467.79102,2,2
14106,29.75,9740.144,9035,208.8457697,24697.03516,2,1
11529,15.124,7367.486,9090,943.7953228,12335.04492,1,1
13874,6.731,988,9153,138.7866056,5147.666504,1,1
11562,5.699,5766.277,9192,1162.234212,3992.444336,4,4
10827,11.568,6763.308,9192,34.24592641,9187.163086,4,3
11532,32.596,15338.722,9192,1189.926978,27815.73633,4,2
11561,44.421,12351.347,9192,662.6256416,38301.88672,4,1
10913,7.71,5993.838,9197,992.2991702,5178.081543,1,1
12018,52.414,8553.985,9231,488.3526666,44567.85547,1,1
15966,9.13,6423.302,9392,46.22630494,7415.666992,5,5
15954,10.086,6594.536,9392,0,8307.828125,5,4
15439,18.2,8048.782,9392,556.5932391,15884.72461,5,3
15443,311.268,59879.264,9392,48.05427383,285931.1875,5,2
15435,338.148,69726.578,9392,784.421515,311186.5938,5,1
18180,11.086,1754.009,9571,147.4716157,9138.713867,1,1
15497,23.82,14079.8,9838,370.6757547,21256.51953,2,2
15487,69.481,12138.586,9838,123.7372072,63244.29297,2,1
12501,6.286,5865.853,9849,276.8911549,4511.256348,2,2
12499,45.084,21068.069,9849,513.9294947,38890.44531,2,1
15173,14.068,7329.123,9856,299.9556672,12135.16211,1,1
12020,21.113,10205.831,10300,335.6675575,17314.79883,1,1
15491,6.449,5951.372,10400,0,4956.827637,2,2
15492,7.836,11202.126,10400,116.0284086,6263.302734,2,1
15437,9.429,6476.712,10519,650.22606,7693.943359,2,2
15434,16.094,7671.33,10519,556.4260979,13918.12695,2,1
14475,4.904,616.166,10607,556.5587587,3210.341797,4,4
14474,6.372,859.565,10607,154.5188224,4478.491699,4,3
14478,38.322,6164.75,10607,0,32119.49609,4,2
14476,43.475,12021.631,10607,622.4092228,36584.00781,4,1
17187,5.24,5712.553,10726,611.4901133,3712.53125,2,2
17186,12.801,8257.071,10726,306.4857517,10833.14551,2,1
14770,4.794,11012.378,11305,678.8175347,3367.208984,4,4
14768,4.842,5654.941,11305,499.6609985,3412.366211,4,3
14717,6.32,5919.677,11305,229.3877724,4791.688477,4,2
